Protein	RNA
2e5l_D	2e5l_A
1jbr_B	1jbr_D
3cun_A	3cun_C
3cul_A	3cul_C
2iz9_C	2iz9_S
2j0q_T	2j0q_E
2j0q_A	2j0q_E
3bbo_H	3bbo_B
3bbo_X	3bbo_B
3bbo_Q	3bbo_B
3bbo_1	3bbo_B
3bbo_O	3bbo_B
3ks8_A	3ks8_E
1trj_A	1trj_B
2dr7_A	2dr7_B
2gic_E	2gic_R
3icq_C	3icq_E
3icq_U	3icq_E
2ipy_A	2ipy_D
1feu_D	1feu_E
2rkj_N	2rkj_O
3moj_B	3moj_A
2zkr_w	2zkr_G
2zkr_o	2zkr_G
1hji_B	1hji_A
2i82_C	2i82_G
2i2p_M	2i2p_W
2i2p_I	2i2p_W
3bbo_F	3bbo_C
3bbo_L	3bbo_C
3bbo_R	3bbo_C
3bbo_P	3bbo_C
3bbo_U	3bbo_C
3bbo_2	3bbo_C
1qvf_2	1qvf_3
3knh_M	3knh_W
3knh_K	3knh_Y
3knh_L	3knh_W
3knh_G	3knh_Y
1qrt_A	1qrt_B
2v3c_D	2v3c_M
2v3c_A	2v3c_M
1c9s_F	1c9s_W
3i1z_L	3i1z_X
3eq3_I	3eq3_B
3i8g_P	3i8g_B
2wh1_Y	2wh1_V
2wdg_K	2wdg_W
2v46_I	2v46_V
3i8g_O	3i8g_B
2x9r_G	2x9r_W
2zxu_A	2zxu_C
3i8h_V	3i8h_B
3i9c_0	3i9c_A
3i9c_1	3i9c_A
3i9c_X	3i9c_A
3i9c_F	3i9c_A
3i9c_H	3i9c_A
3i9c_G	3i9c_A
3i9c_5	3i9c_A
3i9c_T	3i9c_A
3i9c_3	3i9c_A
3i9c_E	3i9c_A
3i9c_O	3i9c_A
3i9c_P	3i9c_A
3i9c_W	3i9c_A
3i9c_Q	3i9c_A
3i9c_2	3i9c_A
3i9c_D	3i9c_A
3i9c_S	3i9c_A
3i9c_6	3i9c_A
3i9c_K	3i9c_A
3i9c_U	3i9c_A
3i9c_M	3i9c_A
3i9c_8	3i9c_A
3i9c_V	3i9c_A
3i9c_R	3i9c_A
3i9c_7	3i9c_A
3i9c_Z	3i9c_A
3i9c_N	3i9c_A
2ann_A	2ann_B
1zdh_B	1zdh_S
3hay_C	3hay_E
3hay_A	3hay_E
3hay_D	3hay_E
2zuf_A	2zuf_B
1njp_K	1njp_5
2zjr_P	2zjr_X
2zjr_K	2zjr_X
1nwx_O	1nwx_0
1nwx_T	1nwx_0
1nwx_X	1nwx_0
3cf5_C	3cf5_X
1nwy_E	1nwy_0
1nwy_D	1nwy_0
1nkw_Z	1nkw_0
2zjq_R	2zjq_X
2zjq_Q	2zjq_X
2zjq_P	2zjq_X
1sm1_U	1sm1_0
2ogn_B	2ogn_0
1nkw_J	1nkw_0
1nkw_G	1nkw_0
3cf5_J	3cf5_X
1nwx_W	1nwx_0
2zjr_L	2zjr_X
3cf5_O	3cf5_X
2zjp_O	2zjp_X
2zjq_5	2zjq_X
1nwy_A	1nwy_0
1nwy_1	1nwy_0
2aar_7	2aar_0
1nwy_T	1nwy_0
1nwy_F	1nwy_0
3cf5_4	3cf5_X
1xbp_H	1xbp_0
2zjq_M	2zjq_X
2zjr_3	2zjr_X
3cf5_2	3cf5_X
1nwy_Y	1nwy_0
1nkw_1	1nkw_0
2zjq_U	2zjq_X
1y69_8	1y69_0
3cf5_H	3cf5_X
1nkw_E	1nkw_0
2izn_C	2izn_S
2c4y_A	2c4y_R
2zkr_s	2zkr_A
3lwv_B	3lwv_D
3hjw_A	3hjw_D
3lwv_C	3lwv_D
2b9o_M	2b9o_V
1ttt_B	1ttt_D
1ml5_Z	1ml5_B
2b64_K	2b64_W
2b9o_G	2b9o_W
1p86_D	1p86_6
2b64_I	2b64_V
1gix_L	1gix_C
1yl4_O	1yl4_B
2gy9_G	2gy9_W
3deg_H	3deg_A
3deg_C	3deg_A
2gyb_L	2gyb_U
1ml5_g	1ml5_B
1ml5_p	1ml5_B
1ttt_A	1ttt_D
1sz1_B	1sz1_F
3e1c_U	3e1c_E
1zo1_I	1zo1_F
3adc_A	3adc_C
2f8t_A	2f8t_D
2zm6_M	2zm6_A
2zm6_K	2zm6_A
2zm6_C	2zm6_A
2zm6_J	2zm6_A
2zm6_F	2zm6_A
2zm6_I	2zm6_A
2zm6_L	2zm6_A
2zm6_G	2zm6_A
2zm6_T	2zm6_A
2zm6_N	2zm6_A
2zm6_Q	2zm6_A
2zm6_V	2zm6_A
2zm6_R	2zm6_A
2zm6_S	2zm6_A
2zm6_P	2zm6_A
2zm6_H	2zm6_A
2zm6_B	2zm6_A
2zm6_O	2zm6_A
2zm6_E	2zm6_A
2zm6_D	2zm6_A
2ihx_A	2ihx_B
